host_description,Personal Charisma,Friendly Attitudes,Service & Assistance,Socialisation & Sharing
"""I have been a New Yorker for a long time and Love this city ! I am an author and  health and fitness expert  and do personal training as well as health consultations and lectures. I have many interests from music to art and literature. I know  my  city very well and  am happy to make suggestions and recommendations so my guests will fully enjoy their New York Experience. I guarantee you will thoroughly enjoy your stay here !""","""love this city"", ""author and health and fitness expert"", ""personal training"", ""health consultations and lectures"", ""many interests from music to art and literature""","""guarantee you will thoroughly enjoy your stay""","""happy to make suggestions and recommendations""",None detected
"""A New Yorker since 2000! My passion is creating beautiful, unique spaces where unforgettable memories are made. It's my pleasure to host people from around the world and meet new faces. Welcome travelers!
I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher. I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments.
Any questions, please text or call Jennifer at 646.498.8710.""","""passion for creating beautiful, unique spaces"", ""Sound Therapy Practitioner"", ""Kundalini Yoga & Meditation teacher"", ""work with energy and sound for relaxation and healing""","""pleasure to host people from around the world"", ""welcome travelers""","""any questions, please text or call""","""meet new faces"""
NYC-based theater and comedy maker. ,"""theater and comedy maker""",None detected,None detected,None detected
I am an architect living in NYC and have my own design firm Buro Koray Duman Architects. I live in LES with my husband and our daughter.,"""architect living in NYC"", ""own design firm""",None,None,None
"I am a dog lover, writer and editor who enjoys hosting visitors.","""dog lover"", ""writer and editor""","""enjoys hosting visitors""",None,None
"I am a spirit-minded alternative health practitioner. This is my home that I let out when I am away, which I plan on being much of this next year.  If you want to feel like a real New Yorker, this is a great space for that, right in the middle of everything!","""spirit-minded alternative health practitioner""","""If you want to feel like a real New Yorker""",None,None
"I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades. I presently work as a freelance interpreter and translator for NYS courts, DA's office, and others in need of language services. I am easy-going, friendly, tidy, respectful of others, responsive to guest's needs, and enthusiastic about meeting new people from all walks of life and all over the world!","""easy-going"", ""enthusiastic about meeting new people""","""friendly"", ""respectful of others""","""responsive to guest's needs""","""enthusiastic about meeting new people from all walks of life"""
"""Hello and thank you for checking out my sublet/rental!

I work with my family in the international art business.  Pre-pandemic, I used to travel often for shows.

When I lived there, I lived fairly spartan but all the essentials are present.  I hope you find it as comfortable as I did!! :)""","""work with my family in the international art business""","""hello and thank you"", ""hope you find it as comfortable as I did""",None,None
"My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter. Our apartment is above the one we rent out, so it's easy to handle all of the logistics of having guests, and we really do know the neighborhood well.  We even do a monthly TV show about it called eHarlemTV (eharlemtv.com).  ","""media professionals"", ""dream of buying and renovating a warehouse"", ""monthly TV show""","""really do know the neighborhood well""","""easy to handle all the logistics of having guests""",None
"I am a video artist. I have lived in NY for 28 years, and traveled quite a lot.  I have had all good experiences with people happy to stay in my apt in the East Village, and a few return visits.  It is very much my home so i welcome responsible people who are happy to be here.  I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance. ","""video artist"", ""lived in NY for 28 years and traveled quite a lot""","""welcome responsible people who are happy to be here"", ""good experiences with people happy to stay""","""always reachable for any questions"", ""available for extra assistance"", ""friends in the neighborhood""",None
"""As a traveler myself, I strive to be a great host. A great host can be the difference between a good trip and a great trip.
I am a former restaurant owner and an active real estate professional and I strive to be the perfect host. All my guests deserve it.""","""former restaurant owner"", ""active real estate professional""","""all my guests deserve it""","""strive to be a great host"", ""perfect host""",None
"""I am a 14-year Airbnb veteran host and I have learned what is most important to travelers; cleanliness, style, and value. You get that with 10 stars each!
I am a jazz and classical flutist who enjoys hosting travelers from all parts of the globe.""","""jazz and classical flutist""","""enjoys hosting travelers from all parts of the globe""","""most important to travelers"", ""cleanliness, style, and value"", ""you get that with 10 stars each""",None
"""""""We are Simon and Allysa... erstwhile travelers living in New York City.
We love sharing our spaces with like-minded travelers and try to make sure that our guests have a really fantastic visit to New York.
If you're visiting New York and want to see it as locals do, please don't hesitate to get in touch.
Happy travels.""""""",erstwhile travelers,"really fantastic visit, ""happy travels""",please don't hesitate to get in touch,"love sharing our spaces with like-minded travelers, ""want to see it as locals do"""
"""Henry prides himself on offering superb accommodations.
Over the years he has cultivated a keen talent for creating elegant, luxurious environments and assembled an impeccable collection of luxury rental properties.
Found in prestigious locations around the world, each home is an expression of Henry's meticulous approach to hosting and entertaining.
Elegant, lavish, sophisticated and comfortable; these properties were originally intended for Henry's closest friends and relatives to utilize and he now extends that privilege to his private clients.
Henry was chief legal officer for NYC Law Department before his departure to focus on a more creative role in Architecture and Design.""","""keen talent for creating elegant environments"", ""meticulous approach to hosting and entertaining"", ""focus on a creative role in Architecture and Design""","""extends that privilege to private clients""","""prides himself on offering superb accommodations""",None
"Hey All,
Thanks for viewing my profile!

I am french / peruvian and work in banking in NYC.  I often go on vacation and enjoy meeting new people, visiting new places and learning different cultures. 

New York City is one of the greatest cities in the world and I would love to help you enjoy the city as much as possible. Not just tourist spots but local charms and hidden gems. Get in touch with me and well be able to coordinate a chat!
Cheers and thank you for viewing.


","French/Peruvian background, ""learning different cultures""","Hey All, ""would love to help you enjoy the city"", ""thank you for viewing""","help you enjoy the city as much as possible, ""coordinate a chat""","enjoy meeting new people, "
"""Creative soul always looking for new things to inspire me!
I own a retail company and work as a creative planner @JWT, freelance interior designer, work as product and brand developer for a few international companies and I still have time to write this bio :)
As I like to share experiences with other travellers and to meet people in general! Drop me a line if you are in my city.""
","creative soul, ""creative planner"", ""freelance interior designer"", ""product and brand developer""",None,drop me a line,"like to share experiences with other travellers, ""meet people in general"""
"""We have a two-bedroom apartment, and we are subletting out each room.
You might share the apartment with one of us or with another Airbnb guest.
As an artist I am very mobile; usually, my roommate takes care of the apartment when I am away.
He has a flexible schedule as well, so we have been happy doing Airbnb.
Our guests have been so wonderful so far, and we are looking forward to meeting new people.""","""as an artist I am very mobile""","""guests have been so wonderful"", ""looking forward to meet new people""","""roommate takes care of the apartment when I am away""","""share the apartment with one of us or with other airbnb guest"""
"I am a writer and quiltmaker and split my time between San Miguel Allende and New York City. Happiest when swimming or playing Scrabble, also am a film buff and non pretentious foodie.  I have lived in San Francisco, St. Augustine, Alaska, Chicago and Veracruz. 
Life motto: ""Exuberance is beauty.""  
I enjoy hosting- your comfort really matters to me and I work hard to make my home a welcoming space.","""writer and quiltmaker"", ""life motto: 'exuberance is beauty'"", ""film buff and non-pretentious foodie"", ""lived in multiple cities""","""enjoy hosting"", ""make my home a welcoming space""","""your comfort really matters to me""",None
"I am a visual artist and professor, residing in Manhattan and Berlin.  Since I happily spend most of my  nickels and free time traveling to Berlin to paint and be with my partner, I want someone to enjoy my home who loves (or will love) New York as much as I do.  My apartment is also my painting studio, so enjoy the art on the walls, not all mine of course, as well.  I love cooking for my friends so the apartment is built to be cozy and to be shared.  I love my East River Park for long walks and for eating out in the neighborhood, look no further than downstairs!  I love New York because it has it all.  My neighborhood is everchanging.  Lots of new galleries springing up near me and the New Museum.  The best thing, I love staying connected to the people and cultures that I are unlike myself.","""visual artist and professor"", ""traveling to Berlin to paint"", ""apartment is also my painting studio"", ""love staying connected to people and cultures unlike myself""","""want someone to enjoy my home who loves (or will love) New York as much as I do""",None,"""love cooking for my friends so the apartment is built to be cozy and to be shared"""
"Hello, I'm Lisa.  I'm a marketing consultant, serving clients like CHANEL, The Economist, Mercedes, IBM, the Whitney Museum, and the U.N.  I also founded a startup that helped people going through hardships like cancer.  I truly enjoy helping guests experience NYC like a native New Yorker and then relax after a busy day in a quiet, art-filled space.  Please be sure to check out my local guide for insider tips.","""marketing consultant serving top clients"", ""founded a startup helping people going through hardships""","""truly enjoy helping guests experience NYC like a native New Yorker""","""check out my local guide for insider tips""",None
"""We love to travel. When we travel we like to stay in a comfortable place that is clean, neat and sweet smelling, for a reasonable price. That's what we rent to you. We love city life but we also love outdoor adventures. We like keep up with all that's new and exciting around New York and we're happy to tell you where to find it. Want to hear the new young musicians that people are excited about or the promising new artists - we'll tell you about them. The best restaurants - ask us.
Want to take a break from the city we'll tell you about wilderness canoeing on the Delaware river - just an hour and a half's drive. We can tell you where to find the great salt water fishing with clean beautiful waters just an hour away from the city or how to take a one day trip by bus to ski in Vermont.


WHY WILLIAMSBURG?

Williamsburg is FABULOUS. It's fast growing and it's fast changing. It's hip. In the 1960's the new and exciting place where culture was blooming was Greenwich Village. In the 70's the SOHO neighborhood was where cheap industrial loft space were being turned into places where the adventurous could move to New York, live cheaply and make the new art, music, and culture. These days Williamsburg has that special chemistry of the New York that's constantly renewing itself. ""","""love to travel"", ""love city life and outdoor adventures"", ""keep up with what's new and exciting around New York"", ""enthusiastic about Williamsburg""","""we rent to you a comfortable, clean, sweet smelling place""",None,"""happy to tell you where to find it"", ""we'll tell you about musicians, artists, restaurants, outdoor trips"""
"""We're a couple in our thirties who love to travel and explore. 

When we're home, we love to cook and entertain, and our Brooklyn loft and Hudson Valley farmhouse  reflect that open and welcoming vibe.

Hopefully, our travel dates will coincide, and you can enjoy one of our homes while we're away! ""","""love to travel and explore"", ""love to cook and entertain""","""open and welcoming vibe""",None,"""love to entertain"""
"My husband and I have been married since 1998 and have two amazing boys! We were determined to stay in ""the city"" to raise our family so we could take advantage of all that New York has to offer.  We also love to travel and when we do, we try and stay in small, local accommodations so we can experience the local vibe of the surroundings. This same feeling is what we offer our visitors when they come to Greenpoint. 

","""love to travel and experience local vibe""","""this same feeling is what we offer our visitors""",None,None
"I live in Brooklyn, NY. I am an experienced Super Host. My family and I live in the building so we are always willing to assist guests when needed. After 10 years of short-term hosting, we have transitioned into longer term stays (of a month or more). We take pride in making all our guests as comfortable as possible no matter how long they stay.  ","""experienced Super Host""","""take pride in making all our guests as comfortable as possible""","""always willing to assist guests when needed""",None
"""I am from Peru of Croatian descent, live in New York City, and work for the United Nations. I like everything international, especially travel. I have had great experience renting people's spaces when travelling. I get the local knowledge as well as great comfort.","""from Peru of Croatian descent"", ""work for the United Nations"", ""like everything international, especially travel""",None,None,None
"I am a 32 year old male.  I work full time as a manager for a very prestigious company.  I enjoy spending time with my family and friends, I enjoy going to the movies, bowling, sports, and reading.  I love to travel, one of my most memorable trips was to Las Vegas last year.  As a host I will do everything in my ability to make you feel as comfortable as possible.  ","""manager for a very prestigious company"", ""love to travel"", ""memorable trip to Las Vegas"", ""enjoy movies, bowling, sports, and reading""","""enjoy spending time with my family and friends""","""do everything in my ability to make you feel as comfortable as possible""",None
"Young professional and native New Yorker. I love to travel both domestically and internationally. I'm a relatively new host but enjoy meeting new people and sharing a bit of what I love about NYC, housing and sustainable design. I enjoy dancing salsa and finding new restaurants and bars in NYC.","""young professional"", ""native New Yorker"", ""love to travel"", ""enjoy dancing salsa"", ""finding new restaurants and bars""",None,None,"""enjoy meeting new people"", ""sharing a bit of what I love about NYC, housing and sustainable design"""
"I enjoy conversations with smart/funny/interesting/kind people. I value honesty, kindness and ambitions. I've lived in NYC for 4 years and loved every bit of it.","""value honesty, kindness and ambitions"", ""lived in NYC for 4 years and loved every bit of it""",None,None,"""enjoy conversations with smart/funny/interesting/kind people"""
"I am an artist, ecologist, and educator. I am the co-founder of Eco Practicum, which runs programs and events for ecological justice, and I teach food systems planning courses at Columbia University. My husband is an artist and educator, my 3 year old son is a little genius, and we like to keep our home clean and colorful. ","""artist, ecologist, and educator"", ""co-founder of Eco Practicum"", ""teach food systems planning at Columbia"", ""keep our home clean and colorful""","""my 3 year old son is a little genius""",None,None
"""I've been a fan of Airbnb for many years and I'm excited to finally be a host!

I'm a New York local and happy to share recommendations with you. Be sure to take a look at my guidebook.

In my free time, I garden, kite board, and play basketball.

Welcome to New York!""","""fan of Airbnb"", ""New York local"", ""garden, kite board, and play basketball""","""excited to finally be a host"", ""Welcome to New York!""","""happy to share recommendations"", ""take a look at my guidebook""",None
