host_description,Personal Charisma,Friendly Attitudes,Service & Assistance,Socialisation & Sharing
"""I have been a New Yorker for a long time and Love this city ! I am an author and  health and fitness expert  and do personal training as well as health consultations and lectures. I have many interests from music to art and literature. I know  my  city very well and  am happy to make suggestions and recommendations so my guests will fully enjoy their New York Experience. I guarantee you will thoroughly enjoy your stay here !""","""I am an author and health and fitness expert"", ""I have many interests from music to art and literature""","""am happy to make suggestions and recommendations"", ""I guarantee you will thoroughly enjoy your stay here""",None detected,None detected
"""A New Yorker since 2000! My passion is creating beautiful, unique spaces where unforgettable memories are made. It's my pleasure to host people from around the world and meet new faces. Welcome travelers!
I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher. I work with energy and sound for relaxation and healing, using Symphonic gong, singing bowls, tuning forks, drums, voice and other instruments.
Any questions, please text or call Jennifer at 646.498.8710.""","""My passion is creating beautiful, unique spaces"", ""I am a Sound Therapy Practitioner and Kundalini Yoga & Meditation teacher""",None detected,"""Any questions, please text or call Jennifer at 646.498.8710""",None detected
NYC-based theater and comedy maker. ,"""NYC-based theater and comedy maker""",None detected,None detected,None detected
I am an architect living in NYC and have my own design firm Buro Koray Duman Architects. I live in LES with my husband and our daughter.,"""I am an architect living in NYC"", ""have my own design firm Buro Koray Duman Architects""",None detected,None detected,None detected
"I am a dog lover, writer and editor who enjoys hosting visitors.","""I am a dog lover, writer and editor who enjoys hosting visitors""",None detected,None detected,None detected
"I am a spirit-minded alternative health practitioner. This is my home that I let out when I am away, which I plan on being much of this next year.  If you want to feel like a real New Yorker, this is a great space for that, right in the middle of everything!","""I am a spirit-minded alternative health practitioner""",None detected,None detected,None detected
"I grew up in South Korea, moved to Montreal, Canada and have been a New Yorker for decades. I presently work as a freelance interpreter and translator for NYS courts, DA's office, and others in need of language services. I am easy-going, friendly, tidy, respectful of others, responsive to guest's needs, and enthusiastic about meeting new people from all walks of life and all over the world!","""I grew up in South Korea"", ""moved to Montreal, Canada"", ""presently work as a freelance interpreter and translator""","""easy-going, friendly, tidy, respectful of others"", ""enthusiastic about meeting new people""",None detected,None detected
"""Hello and thank you for checking out my sublet/rental!

I work with my family in the international art business.  Pre-pandemic, I used to travel often for shows.

When I lived there, I lived fairly spartan but all the essentials are present.  I hope you find it as comfortable as I did!! :)""","""I work with my family in the international art business"", ""used to travel often for shows""",None detected,None detected,None detected
"My husband and I are media professionals who had a dream of buying and renovating a warehouse to work and live in with our daughter. Our apartment is above the one we rent out, so it's easy to handle all of the logistics of having guests, and we really do know the neighborhood well.  We even do a monthly TV show about it called eHarlemTV (eharlemtv.com).  ","""My husband and I are media professionals"", ""had a dream of buying and renovating a warehouse to work and live in with our daughter""",None detected,"""We really do know the neighborhood well"", ""We even do a monthly TV show about it called eHarlemTV""",None detected
"I am a video artist. I have lived in NY for 28 years, and traveled quite a lot.  I have had all good experiences with people happy to stay in my apt in the East Village, and a few return visits.  It is very much my home so i welcome responsible people who are happy to be here.  I am always reachable for any questions and have friends in the neighborhood who are welcoming and available for any extra assistance. ","""I am a video artist"", ""It is very much my home so I welcome responsible people who are happy to be here""",None detected,"""I am always reachable for any questions"", ""have friends in the neighborhood who are welcoming and available for any extra assistance""",None detected
"""As a traveler myself, I strive to be a great host. A great host can be the difference between a good trip and a great trip.
I am a former restaurant owner and an active real estate professional and I strive to be the perfect host. All my guests deserve it.""","""I am a former restaurant owner"", ""an active real estate professional""","""I strive to be the perfect host""",None detected,None detected
